epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76928,3.11156,4.59342,1.64745,0.0006,0.0285,0.00136,0.00043,3.37129,4.50976,1.72604,8.568e-05,8.568e-05,8.568e-05
2,12.3249,2.22612,4.50992,1.29568,0,0,0,0,1.94912,4.488,1.15052,0.000176733,0.000176733,0.000176733
3,14.6607,1.74717,4.30623,1.11521,0,0,0,0,1.54901,4.43618,1.01624,0.000265948,0.000265948,0.000265948
4,16.9974,1.56725,4.11742,1.04205,0,0,0,0,1.27222,4.38224,0.91718,0.000353325,0.000353325,0.000353325
5,19.3312,1.52131,3.90023,1.02686,0.00293,0.14113,0.02373,0.00934,1.26989,4.27558,0.90774,0.000438864,0.000438864,0.000438864
6,21.4942,1.57885,3.63368,1.06429,0.00989,0.43405,0.09636,0.04241,1.49248,4.11668,0.97367,0.000522566,0.000522566,0.000522566
7,23.7492,1.54624,3.40836,1.02168,0.01947,0.85047,0.15808,0.0705,1.4244,3.87132,0.95884,0.00060443,0.00060443,0.00060443
8,26.0633,1.62233,3.09162,1.05688,0.0763,0.81983,0.17579,0.08808,1.46515,3.57408,1.00862,0.00066452,0.00066452,0.00066452
9,28.1996,1.63279,2.90525,1.05641,0.48389,0.29114,0.26788,0.14491,1.37997,2.80023,0.94741,0.000657451,0.000657451,0.000657451
10,30.3205,1.62324,2.68178,1.05497,0.18185,0.43258,0.32429,0.17856,1.41485,2.57492,0.96431,0.000650383,0.000650383,0.000650383
11,32.6893,1.57562,2.54678,1.04758,0.23523,0.34256,0.34823,0.20758,1.3716,2.33345,0.96797,0.000643314,0.000643314,0.000643314
12,35.0852,1.64525,2.4776,1.06901,0.34074,0.28338,0.32149,0.15721,1.57959,2.51978,1.02441,0.000636245,0.000636245,0.000636245
13,37.2346,1.49573,2.40114,1.01998,0.18866,0.46527,0.30947,0.18371,1.35696,2.24542,0.96474,0.000629177,0.000629177,0.000629177
14,39.5745,1.50645,2.33814,1.04389,0.23192,0.45013,0.30583,0.18262,1.38402,2.49478,0.99811,0.000622108,0.000622108,0.000622108
15,42.2155,1.4452,2.22668,1.02508,0.1833,0.65977,0.31363,0.17847,1.52017,2.32539,1.03683,0.00061504,0.00061504,0.00061504
16,44.5746,1.47056,2.2543,1.0221,0.187,0.60748,0.31487,0.17549,1.54298,2.18394,1.03705,0.000607971,0.000607971,0.000607971
17,46.7116,1.42109,2.20199,1.01518,0.20412,0.62437,0.33375,0.19457,1.37584,2.07574,0.98132,0.000600902,0.000600902,0.000600902
18,48.7854,1.42745,2.16061,1.02709,0.22106,0.5509,0.343,0.20518,1.41943,2.15475,0.99748,0.000593834,0.000593834,0.000593834
19,51.0709,1.35594,2.12923,1.02015,0.21206,0.54407,0.35013,0.22203,1.35825,2.25331,0.98042,0.000586765,0.000586765,0.000586765
20,53.5117,1.37075,2.07528,1.01124,0.20903,0.5411,0.32758,0.16519,1.69485,2.18843,1.09712,0.000579697,0.000579697,0.000579697
21,56.1551,1.41167,2.07529,1.01036,0.19143,0.66414,0.36485,0.20951,1.5099,2.0557,1.05073,0.000572628,0.000572628,0.000572628
22,58.4595,1.3557,2.02511,0.9836,0.17165,0.6524,0.38342,0.20123,1.68982,2.04757,1.10683,0.000565559,0.000565559,0.000565559
23,60.781,1.40707,1.98421,1.01379,0.2049,0.63142,0.41072,0.27988,1.25374,1.86217,0.97832,0.000558491,0.000558491,0.000558491
24,62.7695,1.40431,1.93552,0.99131,0.20357,0.65006,0.38281,0.2056,1.68347,2.11797,1.09312,0.000551422,0.000551422,0.000551422
25,65.1033,1.35081,2.02912,0.99043,0.20744,0.5848,0.38285,0.24654,1.27022,1.95047,0.97121,0.000544354,0.000544354,0.000544354
26,67.2659,1.35286,1.99517,1.01167,0.21199,0.65902,0.38364,0.22016,1.49465,1.95634,1.04511,0.000537285,0.000537285,0.000537285
27,69.4624,1.28985,1.95596,0.98304,0.25439,0.59341,0.4032,0.23833,1.51037,1.9441,1.05147,0.000530216,0.000530216,0.000530216
28,71.6316,1.29922,1.92785,0.99585,0.29724,0.6794,0.47913,0.30927,1.29256,1.75673,0.97004,0.000523148,0.000523148,0.000523148
29,73.8993,1.3287,1.90224,0.99371,0.42882,0.44816,0.45591,0.28173,1.37923,1.77452,0.99387,0.000516079,0.000516079,0.000516079
30,77.515,1.30323,1.85953,0.99096,0.46005,0.41684,0.45602,0.28578,1.39106,1.79333,1.00479,0.000509011,0.000509011,0.000509011
31,80.5966,1.31181,1.83885,0.99686,0.19258,0.6141,0.39185,0.25341,1.39102,1.83949,1.01252,0.000501942,0.000501942,0.000501942
32,83.1877,1.32165,1.84343,0.98193,0.28374,0.66515,0.41254,0.24454,1.38431,1.83208,0.9973,0.000494873,0.000494873,0.000494873
33,85.6101,1.29337,1.88013,0.97986,0.32536,0.6444,0.45049,0.27365,1.31102,1.7484,0.97208,0.000487805,0.000487805,0.000487805
34,88.3631,1.32802,1.82967,0.98945,0.34987,0.62919,0.48901,0.27673,1.36308,1.71794,0.98594,0.000480736,0.000480736,0.000480736
35,91.1664,1.29625,1.83353,0.97595,0.32174,0.59154,0.45283,0.26719,1.31333,1.76127,0.96667,0.000473668,0.000473668,0.000473668
36,94.4144,1.26035,1.77538,0.97485,0.35933,0.58693,0.49427,0.27795,1.46507,1.79468,1.01565,0.000466599,0.000466599,0.000466599
37,97.6837,1.30344,1.82448,0.99381,0.43048,0.61847,0.54356,0.33695,1.28266,1.71412,0.97834,0.00045953,0.00045953,0.00045953
38,100.467,1.29852,1.77855,0.97605,0.45214,0.66176,0.57592,0.30708,1.47113,1.70405,1.02936,0.000452462,0.000452462,0.000452462
39,103.424,1.26378,1.78028,0.99586,0.39476,0.70437,0.60504,0.32939,1.51912,1.69475,1.03538,0.000445393,0.000445393,0.000445393
40,106.531,1.25503,1.76922,0.98195,0.49916,0.4677,0.56768,0.3142,1.51662,1.70588,1.03878,0.000438325,0.000438325,0.000438325
41,109.3,1.28583,1.70239,0.98065,0.36211,0.58767,0.53103,0.22359,2.01657,1.82001,1.2161,0.000431256,0.000431256,0.000431256
42,112.464,1.23162,1.69969,0.9751,0.38947,0.68431,0.56683,0.33461,1.44537,1.62511,1.02558,0.000424187,0.000424187,0.000424187
43,115.753,1.37841,1.7026,0.98877,0.44475,0.72489,0.61105,0.37004,1.39096,1.54359,1.00406,0.000417119,0.000417119,0.000417119
44,118.882,1.27587,1.68601,0.98165,0.38839,0.68967,0.5653,0.25753,1.84911,1.72216,1.139,0.00041005,0.00041005,0.00041005
45,121.946,1.25533,1.72556,0.98395,0.40911,0.65492,0.58213,0.35491,1.29981,1.61768,0.97075,0.000402982,0.000402982,0.000402982
46,125.153,1.27955,1.72877,0.99112,0.42788,0.62986,0.58156,0.30708,1.51218,1.62271,1.03676,0.000395913,0.000395913,0.000395913
47,128.083,1.26196,1.72964,0.97055,0.57707,0.57792,0.63703,0.33162,1.47453,1.57133,1.02046,0.000388844,0.000388844,0.000388844
48,131.352,1.22421,1.64036,0.98103,0.6967,0.57634,0.65832,0.40266,1.23161,1.4428,0.95282,0.000381776,0.000381776,0.000381776
49,134.43,1.24529,1.64987,0.9741,0.51769,0.60585,0.65631,0.36128,1.47847,1.53964,1.02383,0.000374707,0.000374707,0.000374707
50,137.441,1.24537,1.64567,0.98595,0.49167,0.63604,0.65612,0.41314,1.20458,1.48612,0.94919,0.000367639,0.000367639,0.000367639
51,140.244,1.22705,1.6987,0.96995,0.50199,0.61576,0.65358,0.36532,1.40622,1.52446,1.00261,0.00036057,0.00036057,0.00036057
52,143.037,1.22585,1.61824,0.97831,0.48731,0.63984,0.6385,0.41155,1.18696,1.47679,0.93675,0.000353501,0.000353501,0.000353501
53,147.016,1.24375,1.63626,0.96319,0.55205,0.6123,0.66047,0.40162,1.37487,1.49622,0.97965,0.000346433,0.000346433,0.000346433
54,150.151,1.23907,1.59473,0.96586,0.5455,0.66277,0.6842,0.39982,1.43234,1.45843,1.00015,0.000339364,0.000339364,0.000339364
55,152.833,1.22504,1.57163,0.98108,0.58888,0.64384,0.68223,0.45064,1.18287,1.39066,0.94032,0.000332296,0.000332296,0.000332296
56,156.286,1.23254,1.56362,0.98099,0.52747,0.67827,0.68706,0.39818,1.3775,1.49903,0.98888,0.000325227,0.000325227,0.000325227
57,159.874,1.22135,1.61727,0.97744,0.48956,0.66653,0.67977,0.39141,1.36296,1.48532,0.98638,0.000318158,0.000318158,0.000318158
58,163.57,1.23614,1.61349,0.95959,0.55743,0.67096,0.704,0.42945,1.24827,1.39939,0.95176,0.00031109,0.00031109,0.00031109
59,166.83,1.21102,1.5267,0.96044,0.55103,0.68633,0.68271,0.40028,1.35629,1.4251,0.98581,0.000304021,0.000304021,0.000304021
60,169.939,1.18808,1.56573,0.95223,0.60293,0.58013,0.69413,0.41456,1.302,1.40036,0.97355,0.000296953,0.000296953,0.000296953
61,173.049,1.22477,1.51539,0.97333,0.61789,0.60385,0.6904,0.42437,1.32561,1.39886,0.97746,0.000289884,0.000289884,0.000289884
62,175.753,1.22192,1.55697,0.98249,0.79369,0.60225,0.69635,0.43149,1.2677,1.34732,0.9605,0.000282815,0.000282815,0.000282815
63,179.193,1.19414,1.51943,0.96376,0.69105,0.65146,0.70831,0.44375,1.25634,1.32044,0.95476,0.000275747,0.000275747,0.000275747
64,182.459,1.1785,1.49368,0.9448,0.66367,0.68531,0.72918,0.44536,1.33501,1.33943,0.97922,0.000268678,0.000268678,0.000268678
65,186.02,1.13684,1.51719,0.94164,0.67526,0.6807,0.74083,0.47085,1.28419,1.3037,0.96668,0.00026161,0.00026161,0.00026161
66,189.758,1.18137,1.5258,0.97284,0.70267,0.67529,0.76116,0.47983,1.24396,1.28304,0.96203,0.000254541,0.000254541,0.000254541
67,192.995,1.16941,1.46772,0.95043,0.6449,0.65574,0.70822,0.38093,1.58226,1.38583,1.06663,0.000247472,0.000247472,0.000247472
68,196.714,1.16089,1.48329,0.93489,0.64134,0.61709,0.7035,0.4218,1.41609,1.35824,1.01298,0.000240404,0.000240404,0.000240404
69,199.828,1.2415,1.56602,0.9738,0.58822,0.69905,0.70931,0.46429,1.18712,1.31806,0.94723,0.000233335,0.000233335,0.000233335
70,202.824,1.1736,1.53998,0.94753,0.62005,0.63926,0.70964,0.4051,1.42105,1.34537,1.00827,0.000226267,0.000226267,0.000226267
71,205.622,1.17849,1.51606,0.9459,0.60096,0.6426,0.70678,0.404,1.40065,1.34821,0.99848,0.000219198,0.000219198,0.000219198
